# {"t_start": 1565151206.022543, "env_id": "TurtleBot3_Circuit_Simple-v0"} 
r,l,t
-161.661686,28,7.946285
115.006418,54,19.396429
-168.24163,21,24.122788
-142.305523,28,30.247456
114.457291,44,39.627224
-159.579937,18,43.71836
-165.409752,25,49.255716
-183.036695,18,53.347545
-157.59777,23,58.485485
72.548945,34,65.826589
342.971504,76,81.687078
106.171605,41,90.45472
78.875906,36,98.180458
-154.017204,30,104.700511
70.966564,33,111.78756
-158.921526,19,116.071753
-133.620674,31,122.788586
60.01399,32,129.737173
-139.442889,24,135.063897
64.168929,31,141.826308
-139.786146,24,147.130609
75.916686,28,153.3156
-149.402107,21,158.05419
86.116783,30,164.565384
-163.877416,18,168.641886
-141.199901,22,173.525286
-143.903452,23,178.61715
-148.91281,23,183.713372
61.821957,31,190.442543
-149.895917,22,195.324473
-141.095638,24,200.625131
-142.837922,24,205.922482
-144.635991,25,211.408489
-166.871186,19,215.711775
-162.757072,16,219.391924
-138.189003,27,225.291588
366.215945,57,237.272767
-144.194064,29,243.573862
386.751349,66,257.374894
694.348153,90,275.972392
136.224159,44,285.307658
663.95455,81,302.134364
1862.971179,183,339.578053
2268.776543,188,378.095348
2318.45378,187,416.314457
2328.007636,192,455.591207
2333.157631,193,495.104445
2317.471663,188,533.615195
2327.808184,196,573.759521
2344.344146,196,613.713913
2353.204321,194,653.320288
2352.242269,193,692.750875
2352.950325,194,732.379817
2326.765374,194,772.019004
2330.309428,192,811.384795
2383.961941,200,852.274374
2346.128015,192,891.555712
2334.077174,190,930.377524
2400.959143,195,970.333141
2362.556599,197,1010.704057
2358.727305,191,1049.622303
2366.724598,197,1089.781575
2348.205542,196,1129.722131
2352.823808,200,1170.568434
2385.243522,192,1209.743905
2335.814234,195,1249.666594
2386.705355,197,1290.030755
2372.924811,203,1331.667816
2372.587867,194,1371.465032
2382.233214,198,1412.123813
2385.485654,195,1452.218382
2394.143087,199,1493.090155
2351.085975,192,1532.44302
2358.417986,193,1571.96283
2383.04331,198,1612.53422
2368.08136,200,1653.409984
2374.786941,194,1693.245297
2352.802579,194,1733.093308
2344.097212,191,1772.236441
2386.513343,193,1811.779473
2354.997507,193,1851.452412
2343.356744,191,1890.661788
2355.158987,196,1930.873937
2399.081937,192,1970.295198
2366.547152,192,2009.56496
2387.990218,193,2049.100796
