# {"t_start": 1565137567.4727786, "env_id": "TurtleBot3_Circuit_Simple_Continous-v0"} 
r,l,t
-184.743718,10,4.658025
-185.752239,13,7.518404
-169.703041,24,12.602689
-157.064497,24,17.676167
-185.03946,18,21.536742
306.187392,49,32.08468
-181.30705,19,36.116908
99.090925,34,43.243821
-172.529308,19,47.904522
-160.053155,28,53.748754
-185.336213,12,56.414637
-189.041727,19,60.472632
-185.604279,10,62.714771
896.60256,125,90.32756
-186.586684,10,92.572561
2300.794731,204,135.32206
-152.082715,23,140.209465
-184.842505,19,144.292046
-186.209375,10,146.547958
-186.079543,13,149.415334
-231.777516,83,167.553431
-183.500453,16,171.027413
-178.391758,14,174.09604
-188.625611,6,176.344505
350.437104,50,186.681984
-141.368067,29,192.783595
-183.570219,12,195.435306
-185.530123,8,197.903569
-186.216894,10,200.148641
-186.921188,10,202.416932
-169.361476,23,207.302661
300.321924,68,221.49631
-160.241911,19,225.587644
-186.243568,10,227.833529
-149.200486,32,234.544328
-183.514863,19,238.64162
-185.853236,9,241.722509
-187.499124,10,243.963526
-187.17354,11,246.41707
-172.727744,15,249.705075
-188.024356,13,252.568844
59.435918,38,260.468261
-183.57443,13,263.71778
-171.458118,15,266.983281
327.311477,65,280.347938
-186.406407,10,282.618498
-158.564379,17,286.693867
2223.761703,185,324.812549
-186.15774,9,327.268319
-169.66566,21,331.765524
141.102028,40,340.104003
-158.385323,25,345.41498
-185.721926,11,347.867082
-170.170343,28,354.553406
-184.513527,11,357.015767
-150.365619,21,361.502424
-186.552724,10,363.739384
-187.689342,10,366.011273
-185.176195,13,368.859014
-185.166046,9,371.720587
-151.762454,22,376.396969
90.638921,34,383.517227
1788.755872,168,418.999622
-185.55109,11,421.460349
-186.651804,10,423.709285
-185.846436,12,426.36269
93.888269,34,433.470517
402.7652,65,447.664589
62.491345,41,456.213394
2291.658914,201,498.594224
49.185612,64,512.398018
1253.257917,132,539.980245
2070.994698,238,590.60311
-169.220026,24,595.692084
76.326161,44,605.637149
-167.28702,30,611.898698
-168.289829,26,617.393212
2296.550491,199,659.386677
67.367191,32,666.101799
1233.00297,125,692.856135
138.020818,40,701.190579
2217.464605,178,738.490249
2296.750725,197,779.856784
870.024711,174,816.125329
-165.534782,33,823.060436
1769.946262,167,858.736166
2053.113163,169,893.816057
2290.144045,205,936.730002
82.432905,68,951.310663
2134.222172,167,986.525192
2258.902447,212,1031.100955
2206.405246,174,1067.218073
403.287767,73,1082.637424
2285.898491,190,1122.54205
2260.893886,212,1167.13266
2315.752188,186,1206.072723
301.859534,75,1222.080302
-161.937386,30,1228.391036
311.03352,75,1244.205749
2298.575678,178,1281.870339
75.937219,69,1296.023739
2167.003182,226,1343.767086
76.912747,75,1359.149969
56.831919,60,1372.118621
2319.083898,186,1411.163728
2116.096591,252,1463.747117
2236.203033,215,1508.850864
2160.068462,232,1557.95961
2209.32539,223,1604.504001
2357.75789,192,1644.346092
616.313169,73,1660.334723
105.190622,36,1667.844878
2053.140765,266,1724.089103
293.078584,79,1740.284845
55.738649,66,1754.422079
2218.270624,175,1791.263561
2297.198993,213,1835.951661
2276.0582,227,1883.467011
638.445757,79,1900.268145
628.1918,77,1916.655422
2255.451972,214,1961.346692
2302.268775,193,2002.003681
2208.873196,229,2050.011612
1366.173828,213,2094.553125
